match_id,shock_type,is_ai,did_win,fight_start,current_gold_lead,gadv_d30,gadv_d60,gadv_d120,gadv_d180
4076257095,positive,0,0,1589,-15548,0,-317,-638,-2185
4076257095,positive,0,1,1915,18967,490,490,490,490
4076257095,negative,0,0,1915,-18967,-490,-490,-490,-490
4076188379,negative,0,1,771,674,104,104,-456,-636
4076188379,positive,0,0,771,-674,-104,-104,456,636
4076188379,positive,0,1,970,1467,0,1234,804,756
4076188379,negative,0,0,970,-1467,0,-1234,-804,-756
4076188379,positive,0,1,1202,3637,0,2668,3610,5175
4076188379,negative,0,0,1202,-3637,0,-2668,-3610,-5175
4076188379,positive,0,1,1301,6305,942,942,2507,3133
4076188379,negative,0,0,1301,-6305,-942,-942,-2507,-3133
4076188379,positive,0,1,1449,9438,0,2778,2778,2778
4076188379,negative,0,0,1449,-9438,0,-2778,-2778,-2778
4076114893,negative,0,0,337,653,108,108,-304,-348
4076114893,positive,0,1,337,-653,-108,-108,304,348
4076114893,negative,0,0,466,349,-44,-44,-634,-1485
4076114893,positive,0,1,466,-349,44,44,634,1485
4076114893,positive,0,0,737,-2146,0,1994,1959,1918
4076114893,negative,0,1,737,2146,0,-1994,-1959,-1918
4076114893,negative,0,0,1108,-2643,0,-429,-2572,-4548
4076114893,positive,0,1,1108,2643,0,429,2572,4548
4076114893,negative,0,0,1493,-8760,-347,-347,-689,-1961
4076114893,positive,0,1,1493,8760,347,347,689,1961
4076114893,positive,0,0,1714,-10783,1274,1274,4211,5029
4076114893,negative,0,1,1714,10783,-1274,-1274,-4211,-5029
4076114893,positive,0,0,1861,-5754,0,2758,3152,2918
4076114893,negative,0,1,1861,5754,0,-2758,-3152,-2918
4076114893,negative,0,0,1949,-2996,0,394,160,-329
4076114893,positive,0,1,1949,2996,0,-394,-160,329
4076114893,negative,0,0,2046,-2836,0,-489,-4514,-8205
4076114893,positive,0,1,2046,2836,0,489,4514,8205
4076114893,negative,0,0,2333,-10646,-1442,-1442,-3176,-9068
4076114893,positive,0,1,2333,10646,1442,1442,3176,9068
4076043995,positive,0,1,961,-169,0,886,1664,1862
4076043995,negative,0,0,961,169,0,-886,-1664,-1862
4076043995,positive,0,1,1123,1495,198,198,1866,2703
4076043995,negative,0,0,1123,-1495,-198,-198,-1866,-2703
4076043995,positive,0,1,1411,5518,404,404,3087,4278
4076043995,negative,0,0,1411,-5518,-404,-404,-3087,-4278
4074821374,positive,0,0,864,3964,0,758,1945,1960
4074821374,negative,0,1,864,-3964,0,-758,-1945,-1960
4074821374,positive,0,0,1098,4141,0,988,2869,4596
4074821374,negative,0,1,1098,-4141,0,-988,-2869,-4596
4074821374,negative,0,0,1325,9292,0,-845,-699,-690
4074821374,positive,0,1,1325,-9292,0,845,699,690
4074821374,negative,0,0,1818,11513,0,264,-253,635
4074821374,positive,0,1,1818,-11513,0,-264,253,-635
4074821374,positive,0,0,2278,14080,-1685,-1685,-426,-5984
4074821374,negative,0,1,2278,-14080,1685,1685,426,5984
4074821374,negative,0,0,2317,12395,1259,1259,-4299,-8799
4074821374,positive,0,1,2317,-12395,-1259,-1259,4299,8799
4074821374,negative,0,0,2709,216,0,-3404,-4586,-5424
4074821374,positive,0,1,2709,-216,0,3404,4586,5424
4074821374,negative,0,0,2898,-5208,0,-1270,-4700,-5867
4074821374,positive,0,1,2898,5208,0,1270,4700,5867
4074748928,positive,0,0,380,170,0,-521,467,70
4074748928,negative,0,1,380,-170,0,521,-467,-70
4074748928,positive,0,0,524,637,-397,-397,1137,2086
4074748928,negative,0,1,524,-637,397,397,-1137,-2086
4074748928,positive,0,0,690,2723,789,789,1898,2605
4074748928,negative,0,1,690,-2723,-789,-789,-1898,-2605
4074748928,negative,0,0,1268,8578,0,-3589,-5884,-6248
4074748928,positive,0,1,1268,-8578,0,3589,5884,6248
4074748928,negative,0,0,1332,4989,0,-2295,-2659,-2029
4074748928,positive,0,1,1332,-4989,0,2295,2659,2029
4074748928,positive,0,0,2011,-1196,193,193,-1506,128
4074748928,negative,0,1,2011,1196,-193,-193,1506,-128
4074748928,negative,0,0,2534,1551,0,-6099,-6099,-6099
4074748928,positive,0,1,2534,-1551,0,6099,6099,6099
4074694505,positive,0,0,574,827,932,932,-167,-400
4074694505,negative,0,1,574,-827,-932,-932,167,400
4074694505,negative,0,0,845,-650,0,287,-788,22
4074694505,positive,0,1,845,650,0,-287,788,-22
4074694505,positive,0,0,1063,-628,64,64,1126,1464
4074694505,negative,0,1,1063,628,-64,-64,-1126,-1464
4074694505,negative,0,0,1224,836,0,-1540,-3974,-3523
4074694505,positive,0,1,1224,-836,0,1540,3974,3523
4074694505,positive,0,0,1405,-2687,0,1421,538,-2693
4074694505,negative,0,1,1405,2687,0,-1421,-538,2693
4074694505,negative,0,0,1554,-2149,-3231,-3231,-5666,-6295
4074694505,positive,0,1,1554,2149,3231,3231,5666,6295
4074639753,positive,0,0,301,-781,0,634,269,34
4074639753,negative,0,1,301,781,0,-634,-269,-34
4074639753,negative,0,0,741,-188,0,-1128,-622,-450
4074639753,positive,0,1,741,188,0,1128,622,450
4074639753,negative,0,0,955,-638,-1057,-1057,-2727,-3710
4074639753,positive,0,1,955,638,1057,1057,2727,3710
4074639753,negative,0,0,1449,-7904,0,-2348,-5421,-4999
4074639753,positive,0,1,1449,7904,0,2348,5421,4999
4074591870,positive,0,0,577,-837,9,9,1618,854
4074591870,negative,0,1,577,837,-9,-9,-1618,-854
4074591870,negative,0,0,658,-828,1609,1609,845,-1021
4074591870,positive,0,1,658,828,-1609,-1609,-845,1021
4074591870,negative,0,0,700,781,-764,-764,-2630,-2806
4074591870,positive,0,1,700,-781,764,764,2630,2806
4074591870,negative,0,0,1001,-2709,-365,-365,-744,-2321
4074591870,positive,0,1,1001,2709,365,365,744,2321
4074591870,negative,0,0,1095,-3453,0,-1577,-1934,-1192
4074591870,positive,0,1,1095,3453,0,1577,1934,1192
4074591870,negative,0,0,1437,-5077,-748,-748,-1765,-3097
4074591870,positive,0,1,1437,5077,748,748,1765,3097
4074591870,negative,0,0,1731,-9353,457,457,-2078,-5214
4074591870,positive,0,1,1731,9353,-457,-457,2078,5214
4074591870,negative,0,0,1898,-14567,-3098,-3098,-3098,-3098
4074591870,positive,0,1,1898,14567,3098,3098,3098,3098
4074486307,negative,0,0,585,1421,-503,-503,-1831,-2870
4074486307,positive,0,1,585,-1421,503,503,1831,2870
4074486307,negative,0,0,690,-410,-1039,-1039,-1002,-668
4074486307,positive,0,1,690,410,1039,1039,1002,668
4074486307,negative,0,0,757,-1449,37,37,371,-248
4074486307,positive,0,1,757,1449,-37,-37,-371,248
4074486307,positive,0,0,1086,-2317,0,1429,226,72
4074486307,negative,0,1,1086,2317,0,-1429,-226,-72
4074486307,negative,0,0,1396,-3764,0,-358,-294,463
4074486307,positive,0,1,1396,3764,0,358,294,-463
4074486307,negative,0,0,1691,-4166,0,-2004,-4118,-5641
4074486307,positive,0,1,1691,4166,0,2004,4118,5641
4074486307,negative,0,0,1763,-6170,0,-2114,-3637,-3898
4074486307,positive,0,1,1763,6170,0,2114,3637,3898
4074486307,negative,0,0,1967,-10068,-242,-242,-242,-242
4074486307,positive,0,1,1967,10068,242,242,242,242
4074356696,positive,0,0,579,-688,281,281,43,844
4074356696,negative,0,1,579,688,-281,-281,-43,-844
4074356696,negative,0,0,1241,-1107,908,908,205,-453
4074356696,positive,0,1,1241,1107,-908,-908,-205,453
4074356696,negative,0,0,1647,-431,0,-861,-432,-594
4074356696,positive,0,1,1647,431,0,861,432,594
4074356696,negative,0,0,1824,-1025,0,-1985,-4174,-3897
4074356696,positive,0,1,1824,1025,0,1985,4174,3897
4074356696,positive,0,0,2021,-4922,348,348,1165,1832
4074356696,negative,0,1,2021,4922,-348,-348,-1165,-1832
4074356696,negative,0,0,2388,-1161,-1113,-1113,-2062,-5533
4074356696,positive,0,1,2388,1161,1113,1113,2062,5533
4074356696,negative,0,0,3004,-7828,0,-2476,-3422,-4311
4074356696,positive,0,1,3004,7828,0,2476,3422,4311
4074356696,negative,0,0,3286,-12762,685,685,-1432,-2185
4074356696,positive,0,1,3286,12762,-685,-685,1432,2185
4074356696,negative,0,0,3357,-12077,-2117,-2117,-2870,-6457
4074356696,positive,0,1,3357,12077,2117,2117,2870,6457
4074255285,negative,0,1,369,-1737,0,-606,-775,1025
4074255285,positive,0,0,369,1737,0,606,775,-1025
4074255285,positive,0,1,481,-2512,0,1800,1280,1345
4074255285,negative,0,0,481,2512,0,-1800,-1280,-1345
4074255285,positive,0,1,1456,5216,0,991,3640,6146
4074255285,negative,0,0,1456,-5216,0,-991,-3640,-6146
4074255285,positive,0,1,1562,8856,0,2506,2506,2506
4074255285,negative,0,0,1562,-8856,0,-2506,-2506,-2506
4074178274,positive,0,0,760,-2445,-532,-532,295,587
4074178274,negative,0,1,760,2445,532,532,-295,-587
4074178274,negative,0,0,960,-2360,0,-1404,-1252,-3651
4074178274,positive,0,1,960,2360,0,1404,1252,3651
4074178274,negative,0,0,1085,-3612,0,-2399,-2994,-4909
4074178274,positive,0,1,1085,3612,0,2399,2994,4909
4074178274,negative,0,0,1176,-6011,-595,-595,-2510,-3328
