match_id,is_openai5,fight_start,kill_delta_radiant,gadv_d30,gadv_d60,gadv_d120,gadv_d180
2569470828,False,2353,3,0,2796,2796,2796
2569415435,False,385,-1,0,-228,188,-672
2569415435,False,1227,-1,0,201,530,2060
2569415435,False,1359,3,1530,1530,3736,2168
2569415435,False,1452,-1,0,-1568,-1701,-1025
2569415435,False,1676,-1,635,635,-994,551
2569415435,False,1786,3,1545,1545,3603,4062
2569227952,False,987,-1,0,2304,627,587
2569227952,False,1709,-1,0,-199,-566,-199
2569227952,False,2064,1,0,-50,-473,454
2569227952,False,2461,0,0,515,707,811
2569227952,False,2588,-1,0,104,-399,-2869
2569227952,False,2778,5,0,861,2767,2767
2569119771,False,1248,5,373,373,3524,3620
2569119771,False,1649,-4,0,-2335,-3431,-2982
2569119771,False,2329,-3,-315,-315,-5135,-7077
2569119771,False,2460,-2,0,-1270,-1788,-4614
2569119771,False,2607,-2,0,-2826,-8458,-8458
2569011425,False,1145,3,0,1246,2318,2893
2569011425,False,1366,4,323,323,2075,2150
2566866066,False,360,-3,0,-1187,-958,-614
2566866066,False,509,2,0,344,120,-257
2566866066,False,1082,-3,0,-3636,-5838,-6978
2566866066,False,1178,-3,-2202,-2202,-3342,-4228
2566866066,False,1368,3,-783,-783,1149,571
2566866066,False,1706,-3,0,-1739,-3018,-3722
2566866066,False,2550,-1,-1442,-1442,-6840,-8391
2566866066,False,2892,-2,0,-3535,-3535,-3535
2566800064,False,898,1,-318,-318,410,1178
2566800064,False,1012,3,768,768,4064,3423
2566800064,False,1326,1,0,1862,1862,1862
2566725198,False,830,-1,1011,1011,1144,1165
2566725198,False,2144,3,1161,1161,3228,9723
2566594115,False,182,-1,0,-544,-475,-1339
2566594115,False,558,-1,0,-81,-350,-1911
2566594115,False,797,1,0,823,-867,-1161
2566594115,False,1092,-3,0,-2528,-1284,903
2566594115,False,1312,1,-296,-296,659,-1605
2566594115,False,1850,3,-133,-133,3542,2103
2566594115,False,3039,-3,806,806,-3194,-9482
2566482748,False,698,2,-90,-90,1213,1279
2566482748,False,829,3,66,66,1852,3357
2566482748,False,1056,3,1758,1758,2519,2704
2566482748,False,1408,2,0,-120,2298,1790
